"a","log(a/a-1)","ub_old","ub_k2","lb_k2","ub_k2_add","lb_k2_unadd","ub_k3","lb_k3","ub_k3_add","lb_k3_unadd","ub_k4","lb_k4","ub_k4_add","lb_k4_unadd","ub_k2_unadd","ub_k3_unadd","ub_k4_unadd"
10.74,0.097733971426275,0.09204394934191,0.0689097781566488,0.0407753029394179,0.060862495465595,0.0407247121082428,0.0984542941391233,0.0448985961533664,0.102093703034866,0.0456882518707233,0.555056582915515,0.0454394912609886,0.566481870339858,0.045561059673714,0.0689474236529115,0.0883646470062684,0.231979886681854
10.76,0.0975431543086373,0.0917657745144088,0.0686934738257756,0.0407102352556359,0.0658193956700441,0.04052694447149,0.0977890761442617,0.044823286447763,0.0579072216445825,0.0448967820519283,0.545001948580572,0.045365594450015,0.0422687278050206,0.0455070150719717,0.0690117329927756,0.0795708278396998,0.188508505274645
10.78,0.0973530814341251,0.0928197034103108,0.0684785750365017,0.0406453692963336,0.0687571882283198,0.0406296034110439,0.0971323910944109,0.0447482048075182,0.115408810737883,0.0453828197991445,0.53518158716914,0.0452918758436072,-0.267156846338182,0.0462283057133083,0.0673432733790759,0.0890083424787982,0.272334894750641
10.8,0.0971637484536477,0.0926233568677848,0.0682650682650607,0.0405807041609771,0.0680571416526357,0.0406873404610464,0.0964840964116442,0.0446733503813714,0.157747215044021,0.044532635199623,0.525589100876733,0.0452183354786372,0.0468433545046579,0.0450649573850187,0.0691223908736408,0.0951844329002713,0.266683513302883
10.82,0.096975151051961,0.0992536983208652,0.0680529401563555,0.0405162389541298,0.0798960976482537,0.0405524295431677,0.0958440523561812,0.0445987223203517,0.129371622243039,0.0449772274383942,0.516218291692826,0.0451449733791779,0.0706877173752499,0.0446627260377276,0.0684453102316723,0.0803805671949338,0.170604163406544
10.84,0.096787284947338,0.0990337749723314,0.0678421775214135,0.0404519727853987,0.0696628311851792,0.0402649750793044,0.0952121219613946,0.044524319777786,0.153997570164162,0.0455381750473324,0.507063154374845,0.0450717895568892,-0.217378992038217,0.0453021706545549,0.0676532558653224,0.0773366918775487,0.155463408685319
10.86,0.0966001458912453,0.0920571535381803,0.0676327673349219,0.0403879047693518,0.0640328018094319,0.0409658041416383,0.094588170970531,0.0444501419090673,0.122630877779476,0.0448641420224664,0.498117869697346,0.0449987840100553,1.12155910829885,0.0449521626896459,0.0702627639566277,0.146692111143969,0.310719268600899
10.88,0.0964137296680201,0.0963626531873782,0.0674246967327425,0.0403240340253701,0.0649943527612479,0.0403438900368739,0.0939720677749991,0.0443761878717451,0.0581054067645622,0.0451862567416207,0.489376797964091,0.0449259567251888,-0.179204150616116,0.0450127275048381,0.0680866195891309,0.102781096889639,0.679837818151513
10.9,0.0962280320945538,0.0920135305705863,0.067217953009444,0.040260359677912,0.0623661443154313,0.0400866631409439,0.0933636833541904,0.044302456825954,0.0842633246925565,0.044291349743487,0.480834472771972,0.0448533076772515,-0.03188523286497,0.0448013457649178,0.0686493759537721,0.116503196135259,0.227992685820396
10.92,0.0960430490199776,0.102971739368967,0.0670125236160221,0.0401968808562215,0.0849085657760023,0.0407430521418788,0.0927628912170355,0.0442289479337905,0.117702063499842,0.0443957438011374,0.472485595016185,0.044780836828737,0.686601621467097,0.0447624060828524,0.0682797870323343,0.0991838389061297,0.608679686171953
